weekday,hours,exit_num,exit_name,latitude,longitude,action,total
1,2,29,Canajoharie - Sharon Springs - NY Route 10,42.90697,-74.56224,entrance,4
1,2,29,Canajoharie - Sharon Springs - NY Route 10,42.90697,-74.56224,exit,10
1,2,29A,Little Falls - Dolgeville - NY Route 169,43.01657,-74.81745,entrance,3
1,2,29A,Little Falls - Dolgeville - NY Route 169,43.01657,-74.81745,exit,6
1,2,30,Herkimer - Mohawk - NY Route 28,43.01778,-74.98931,entrance,8
1,2,30,Herkimer - Mohawk - NY Route 28,43.01778,-74.98931,exit,7
1,2,31,Utica - I-790 - NY Routes 8 & 12,43.11198,-75.20499,entrance,28
1,2,31,Utica - I-790 - NY Routes 8 & 12,43.11198,-75.20499,exit,39
1,2,32,Westmoreland - Rome - NY Route 233,43.12388,-75.40102,entrance,9
1,2,32,Westmoreland - Rome - NY Route 233,43.12388,-75.40102,exit,21
1,2,33,Verona - Rome - Oneida - NY Route 365,43.12375,-75.5823,entrance,75
1,2,33,Verona - Rome - Oneida - NY Route 365,43.12375,-75.5823,exit,36
1,2,34,Canastota - Oneida - Chittenango - NY Route 13,43.0926,-75.7472,entrance,20
1,2,34,Canastota - Oneida - Chittenango - NY Route 13,43.0926,-75.7472,exit,17
1,2,34A,Syracuse - Chittenango - Oswego - I-481,43.09475,-76.04353,entrance,27
1,2,34A,Syracuse - Chittenango - Oswego - I-481,43.09475,-76.04353,exit,34
1,2,35,Syracuse - East Syracuse - NY Route 298,43.09278,-76.08985,entrance,23
1,2,35,Syracuse - East Syracuse - NY Route 298,43.09278,-76.08985,exit,14
1,2,36,Watertown - Binghamton - I-81,43.09458,-76.16788,entrance,32
1,2,36,Watertown - Binghamton - I-81,43.09458,-76.16788,exit,40
1,2,37,Syracuse - Liverpool - Electronics Parkway,43.10206,-76.18139,entrance,7
1,2,37,Syracuse - Liverpool - Electronics Parkway,43.10206,-76.18139,exit,19
1,2,38,Syracuse - Liverpool - County Route 57,43.11717,-76.21867,entrance,14
1,2,38,Syracuse - Liverpool - County Route 57,43.11717,-76.21867,exit,20
1,2,39,Syracuse - Fulton - I-690 - NY Route 690,43.1073,-76.2872,entrance,39
1,2,39,Syracuse - Fulton - I-690 - NY Route 690,43.1073,-76.2872,exit,33
1,2,40,Weedsport - Auburn - NY Route 34,43.06112,-76.56474,entrance,10
1,2,40,Weedsport - Auburn - NY Route 34,43.06112,-76.56474,exit,21
1,2,41,Waterloo - Clyde - NY Route 414,42.96744,-76.85294,entrance,41
1,2,41,Waterloo - Clyde - NY Route 414,42.96744,-76.85294,exit,17
1,2,42,Geneva - Lyons - NY Route 14,42.95489,-76.98206,entrance,15
1,2,42,Geneva - Lyons - NY Route 14,42.95489,-76.98206,exit,16
1,2,43,Manchester - Palmyra - NY Route 21,42.97874,-77.23343,entrance,8
1,2,43,Manchester - Palmyra - NY Route 21,42.97874,-77.23343,exit,18
1,2,44,Canandaigua - Victor - NY Route 332,42.9957,-77.3684,entrance,19
1,2,44,Canandaigua - Victor - NY Route 332,42.9957,-77.3684,exit,23
1,2,45,Rochester - Victor - I-490,43.00922,-77.43991,entrance,33
1,2,45,Rochester - Victor - I-490,43.00922,-77.43991,exit,45
1,2,46,Rochester - Corning - I-390,43.04775,-77.65387,entrance,23
1,2,46,Rochester - Corning - I-390,43.04775,-77.65387,exit,34
1,2,47,Rochester - LeRoy - I-490 - NY Route 19,43.02896,-77.96674,entrance,25
1,2,47,Rochester - LeRoy - I-490 - NY Route 19,43.02896,-77.96674,exit,27
1,2,48,Batavia - NY Route 98,43.01859,-78.18819,entrance,19
1,2,48,Batavia - NY Route 98,43.01859,-78.18819,exit,16
1,2,48A,Pembroke - Medina - NY Route 77,43.00281,-78.41385,entrance,12
1,2,48A,Pembroke - Medina - NY Route 77,43.00281,-78.41385,exit,20
